epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,522.044,0.59936,0.49611,0.01341,0.94925,0.87016,0.9536,0.7738,0.80318,0.60311,0.02876,0.00118385,0.00118385,0.00118385
43,534.241,0.57512,0.47144,0.01255,0.94153,0.85597,0.9359,0.78448,0.68648,0.61199,0.0236,0.00117253,0.00117253,0.00117253
44,546.434,0.59662,0.47394,0.01344,0.97121,0.93568,0.9773,0.79682,0.76228,0.45627,0.02582,0.00116102,0.00116102,0.00116102
45,558.542,0.55787,0.42839,0.01227,0.94947,0.95728,0.97373,0.8289,0.70164,0.39512,0.0238,0.00114931,0.00114931,0.00114931
46,570.736,0.56169,0.45303,0.01224,0.94152,0.9255,0.9688,0.80369,0.73153,0.43033,0.02527,0.00113742,0.00113742,0.00113742
47,582.959,0.58536,0.50337,0.01295,0.90796,0.96428,0.96856,0.8166,0.68854,0.40252,0.02294,0.00112534,0.00112534,0.00112534
48,595.17,0.57046,0.4393,0.01253,0.95777,0.9576,0.97389,0.82775,0.66611,0.35204,0.02205,0.00111309,0.00111309,0.00111309
49,607.34,0.57578,0.45362,0.01263,0.90817,0.95522,0.97636,0.83421,0.66733,0.37125,0.02249,0.00110066,0.00110066,0.00110066
50,619.51,0.54988,0.43541,0.01232,0.92937,0.9474,0.97401,0.82299,0.6765,0.37269,0.02238,0.00108807,0.00108807,0.00108807
51,631.623,0.55523,0.44809,0.01245,0.96166,0.95029,0.97856,0.83732,0.62947,0.34604,0.02124,0.00107532,0.00107532,0.00107532
52,643.81,0.55252,0.41924,0.0124,0.96359,0.95943,0.98053,0.84424,0.62268,0.34517,0.02057,0.00106242,0.00106242,0.00106242
53,656.014,0.54489,0.42858,0.01178,0.98295,0.95635,0.97783,0.81628,0.66632,0.34045,0.0208,0.00104936,0.00104936,0.00104936
54,668.16,0.54168,0.41925,0.01194,0.93883,0.94911,0.96706,0.81662,0.71533,0.40469,0.02421,0.00103616,0.00103616,0.00103616
55,680.31,0.52753,0.4399,0.01165,0.95648,0.96033,0.97682,0.82097,0.71136,0.3308,0.02535,0.00102282,0.00102282,0.00102282
